term,meaning,usage_context,formality,region
current,current (English),present,informal,Urban Karnataka
present,present (English),current,informal,Urban Karnataka
past,past (English),previous,informal,Urban Karnataka
previous,previous (English),earlier,informal,Urban Karnataka
earlier,earlier (English),before,informal,Urban Karnataka
later,later (English),after,informal,Urban Karnataka
after,after (English),following,informal,Urban Karnataka
before,before (English),prior,informal,Urban Karnataka
prior,prior (English),earlier,informal,Urban Karnataka
next,next (English),following,informal,Urban Karnataka
following,following (English),next,informal,Urban Karnataka
first,first (English),initial,informal,Urban Karnataka
last,last (English),final,informal,Urban Karnataka
final,final (English),ultimate,informal,Urban Karnataka
ultimate,ultimate (English),final,informal,Urban Karnataka
initial,initial (English),first,informal,Urban Karnataka
recent,recent (English),latest,informal,Urban Karnataka
latest,latest (English),newest,informal,Urban Karnataka
newest,newest (English),most recent,informal,Urban Karnataka
oldest,oldest (English),earliest,informal,Urban Karnataka
earliest,earliest (English),first,informal,Urban Karnataka
permanent,permanent (English),lasting,informal,Urban Karnataka
temporary,temporary (English),short-term,informal,Urban Karnataka
instant,instant (English),immediate,informal,Urban Karnataka
immediate,immediate (English),right away,informal,Urban Karnataka
quick,quick (English),fast,informal,Urban Karnataka
rapid,rapid (English),swift,informal,Urban Karnataka
swift,swift (English),quick,informal,Urban Karnataka
steady,steady (English),stable,informal,Urban Karnataka
stable,stable (English),steady,informal,Urban Karnataka
safe,safe (English),secure,informal,Urban Karnataka
secure,secure (English),safe,informal,Urban Karnataka
dangerous,dangerous (English),risky,informal,Urban Karnataka
risky,risky (English),dangerous,informal,Urban Karnataka
lucky,lucky (English),fortunate,informal,Urban Karnataka
unfortunate,unfortunate (English),unlucky,informal,Urban Karnataka
unlucky,unlucky (English),unfortunate,informal,Urban Karnataka
successful,successful (English),victorious,informal,Urban Karnataka
failed,failed (English),unsuccessful,informal,Urban Karnataka
winning,winning (English),victorious,informal,Urban Karnataka
losing,losing (English),defeated,informal,Urban Karnataka
naanu,I/me,first person pronoun,informal,Karnataka
neenu,you,second person pronoun,informal,Karnataka
avanu,he/him,third person male,informal,Karnataka
avalu,she/her,third person female,informal,Karnataka
avaru,they/them (respectful),third person plural,informal,Karnataka
naavu,we/us,first person plural,informal,Karnataka
neevu,you (plural/respectful),second person plural,informal,Karnataka
ivaru,these people,demonstrative plural,informal,Karnataka
avaru,those people,demonstrative plural,informal,Karnataka
yaaru,who,interrogative pronoun,informal,Karnataka
yenu,what,interrogative pronoun,informal,Karnataka
yaake,why,interrogative adverb,informal,Karnataka
hegee,how,interrogative adverb,informal,Karnataka
yavaga,when,interrogative adverb,informal,Karnataka
yellige,where to,interrogative adverb,informal,Karnataka
yellinda,where from,interrogative adverb,informal,Karnataka
yeshtu,how much/many,interrogative,informal,Karnataka
ondu,one,number,informal,Karnataka
eradu,two,number,informal,Karnataka
mooru,three,number,informal,Karnataka
naalku,four,number,informal,Karnataka
aidu,five,number,informal,Karnataka
aaru,six,number,informal,Karnataka
yelu,seven,number,informal,Karnataka
entu,eight,number,informal,Karnataka
ombattu,nine,number,informal,Karnataka
hattu,ten,number,informal,Karnataka
nooru,hundred,number,informal,Karnataka
saavira,thousand,number,informal,Karnataka
baaga,well/good,manner adverb,informal,Karnataka
jasti,more/excess,quantity adverb,informal,Karnataka
kammi,less,quantity adverb,informal,Karnataka
bega,quickly,manner adverb,informal,Karnataka
nidhana,slowly,manner adverb,informal,Karnataka
modalu,first,order adverb,informal,Karnataka
kadege,finally,order adverb,informal,Karnataka
matte,again,repetition adverb,informal,Karnataka
iga,now,temporal adverb,informal,Karnataka
adaga,then,temporal adverb,informal,Karnataka
munche,before,temporal adverb,informal,Karnataka
amele,after,temporal adverb,informal,Karnataka
dinavu,daily,frequency adverb,informal,Karnataka
vaara,week,time noun,informal,Karnataka
tingalu,month,time noun,informal,Karnataka
beligge,morning,time noun,informal,Karnataka
madhyana,afternoon,time noun,informal,Karnataka
sanje,evening,time noun,informal,Karnataka
raatri,night,time noun,informal,Karnataka
dibbana,snack (informal),food slang,informal,Karnataka
thindi,snack,food reference,informal,Karnataka
upahara,breakfast,food reference,informal,Karnataka
oota,meal/food,food reference,informal,Karnataka
nidde,sleep,rest reference,informal,Karnataka
kelasa,work,activity reference,informal,Karnataka
aaata,game/play,activity reference,informal,Karnataka
paata,song,entertainment,informal,Karnataka
haadu,song,entertainment,informal,Karnataka
cinema,movie,entertainment,informal,Urban Karnataka
film,film (English),entertainment,informal,Urban Karnataka
show,show (English),entertainment,informal,Urban Karnataka
program,program (English),event,informal,Urban Karnataka
event,event (English),occasion,informal,Urban Karnataka
party,party (English),celebration,informal,Urban Karnataka
celebration,celebration (English),festivity,informal,Urban Karnataka
occasion,occasion (English),event,informal,Urban Karnataka
holiday,holiday (English),vacation,informal,Urban Karnataka
vacation,vacation (English),break,informal,Urban Karnataka
break,break (English),rest period,informal,Urban Karnataka
rest,rest (English),relaxation,informal,Urban Karnataka
trip,trip (English),journey,informal,Urban Karnataka
journey,journey (English),travel,informal,Urban Karnataka
travel,travel (English),trip,informal,Urban Karnataka
tour,tour (English),excursion,informal,Urban Karnataka
picnic,picnic (English),outing,informal,Urban Karnataka
outing,outing (English),trip,informal,Urban Karnataka
hangout,hangout (English),gathering place,informal,Urban Karnataka
spot,spot (English),location,informal,Urban Karnataka
place,place (English),location,informal,Urban Karnataka
location,location (English),place,informal,Urban Karnataka
area,area (English),region,informal,Urban Karnataka
region,region (English),area,informal,Urban Karnataka
zone,zone (English),area,informal,Urban Karnataka
side,side (English),direction,informal,Urban Karnataka
corner,corner (English),angle,informal,Urban Karnataka
center,center (English),middle,informal,Urban Karnataka
middle,middle (English),center,informal,Urban Karnataka
edge,edge (English),border,informal,Urban Karnataka
border,border (English),boundary,informal,Urban Karnataka
boundary,boundary (English),limit,informal,Urban Karnataka
distance,distance (English),range,informal,Urban Karnataka
range,range (English),extent,informal,Urban Karnataka
extent,extent (English),scope,informal,Urban Karnataka
scope,scope (English),range,informal,Urban Karnataka
size,size (English),dimension,informal,Urban Karnataka
shape,shape (English),form,informal,Urban Karnataka
form,form (English),shape,informal,Urban Karnataka
color,color (English),hue,informal,Urban Karnataka
bright,bright (English),vivid,informal,Urban Karnataka
dark,dark (English),dim,informal,Urban Karnataka
light,light (English),pale,informal,Urban Karnataka
heavy,heavy (English),weighty,informal,Urban Karnataka
thin,thin (English),slim,informal,Urban Karnataka
thick,thick (English),dense,informal,Urban Karnataka
big,big (English),large,informal,Urban Karnataka
small,small (English),little,informal,Urban Karnataka
large,large (English),big,informal,Urban Karnataka
huge,huge (English),massive,informal,Urban Karnataka
tiny,tiny (English),very small,informal,Urban Karnataka
short,short (English),brief,informal,Urban Karnataka
long,long (English),extended,informal,Urban Karnataka
tall,tall (English),high,informal,Urban Karnataka
wide,wide (English),broad,informal,Urban Karnataka
deep,deep (English),profound,informal,Urban Karnataka
shallow,shallow (English),superficial,informal,Urban Karnataka
rough,rough (English),coarse,informal,Urban Karnataka
smooth,smooth (English),even,informal,Urban Karnataka
soft,soft (English),tender,informal,Urban Karnataka
firm,firm (English),solid,informal,Urban Karnataka
hot,hot (English),warm,informal,Urban Karnataka
cold,cold (English),cool,informal,Urban Karnataka
warm,warm (English),tepid,informal,Urban Karnataka
wet,wet (English),damp,informal,Urban Karnataka
dry,dry (English),arid,informal,Urban Karnataka
clean,clean (English),neat,informal,Urban Karnataka
dirty,dirty (English),unclean,informal,Urban Karnataka
neat,neat (English),tidy,informal,Urban Karnataka
messy,messy (English),untidy,informal,Urban Karnataka
fresh,fresh (English),new,informal,Urban Karnataka
old,old (English),aged,informal,Urban Karnataka
young,young (English),youthful,informal,Urban Karnataka
new,new (English),recent,informal,Urban Karnataka
used,used (English),second-hand,informal,Urban Karnataka
nice,nice (English),pleasant,informal,Urban Karnataka
bad,bad (English),poor,informal,Urban Karnataka
good,good (English),fine,informal,Urban Karnataka
great,great (English),excellent,informal,Urban Karnataka
excellent,excellent (English),outstanding,informal,Urban Karnataka
wonderful,wonderful (English),amazing,informal,Urban Karnataka
amazing,amazing (English),incredible,informal,Urban Karnataka
incredible,incredible (English),unbelievable,informal,Urban Karnataka
fantastic,fantastic (English),great,informal,Urban Karnataka
awesome,awesome (English),amazing,informal,Urban Karnataka
terrible,terrible (English),awful,informal,Urban Karnataka
awful,awful (English),horrible,informal,Urban Karnataka
horrible,horrible (English),dreadful,informal,Urban Karnataka
worst,worst (English),poorest,informal,Urban Karnataka
best,best (English),finest,informal,Urban Karnataka
perfect,perfect (English),flawless,informal,Urban Karnataka
okay,okay (English),acceptable,informal,Urban Karnataka
fine,fine (English),good,informal,Urban Karnataka
alright,alright (English),okay,informal,Urban Karnataka
decent,decent (English),acceptable,informal,Urban Karnataka
fair,fair (English),reasonable,informal,Urban Karnataka
reasonable,reasonable (English),sensible,informal,Urban Karnataka
sensible,sensible (English),practical,informal,Urban Karnataka
practical,practical (English),realistic,informal,Urban Karnataka
realistic,realistic (English),achievable,informal,Urban Karnataka
possible,possible (English),achievable,informal,Urban Karnataka
impossible,impossible (English),unachievable,informal,Urban Karnataka
certain,certain (English),sure,informal,Urban Karnataka
sure,sure (English),confident,informal,Urban Karnataka
confident,confident (English),assured,informal,Urban Karnataka
unsure,unsure (English),uncertain,informal,Urban Karnataka
uncertain,uncertain (English),doubtful,informal,Urban Karnataka
doubtful,doubtful (English),skeptical,informal,Urban Karnataka
skeptical,skeptical (English),questioning,informal,Urban Karnataka
curious,curious (English),inquisitive,informal,Urban Karnataka
interested,interested (English),engaged,informal,Urban Karnataka
bored,bored (English),uninterested,informal,Urban Karnataka
excited,excited (English),thrilled,informal,Urban Karnataka
thrilled,thrilled (English),excited,informal,Urban Karnataka
nervous,nervous (English),anxious,informal,Urban Karnataka
anxious,anxious (English),worried,informal,Urban Karnataka
worried,worried (English),concerned,informal,Urban Karnataka
concerned,concerned (English),troubled,informal,Urban Karnataka
relaxed,relaxed (English),calm,informal,Urban Karnataka
calm,calm (English),peaceful,informal,Urban Karnataka
peaceful,peaceful (English),tranquil,informal,Urban Karnataka
angry,angry (English),mad,informal,Urban Karnataka
upset,upset (English),disturbed,informal,Urban Karnataka
sad,sad (English),unhappy,informal,Urban Karnataka
unhappy,unhappy (English),sad,informal,Urban Karnataka
disappointed,disappointed (English),let down,informal,Urban Karnataka
frustrated,frustrated (English),annoyed,informal,Urban Karnataka
annoyed,annoyed (English),irritated,informal,Urban Karnataka
irritated,irritated (English),annoyed,informal,Urban Karnataka
pleased,pleased (English),satisfied,informal,Urban Karnataka
satisfied,satisfied (English),content,informal,Urban Karnataka
content,content (English),satisfied,informal,Urban Karnataka
grateful,grateful (English),thankful,informal,Urban Karnataka
thankful,thankful (English),appreciative,informal,Urban Karnataka
sorry,sorry (English),apologetic,informal,Urban Karnataka
proud,proud (English),pleased,informal,Urban Karnataka
ashamed,ashamed (English),embarrassed,informal,Urban Karnataka
embarrassed,embarrassed (English),awkward,informal,Urban Karnataka
awkward,awkward (English),uncomfortable,informal,Urban Karnataka
comfortable,comfortable (English),at ease,informal,Urban Karnataka
uncomfortable,uncomfortable (English),uneasy,informal,Urban Karnataka
tired,tired (English),exhausted,informal,Urban Karnataka
exhausted,exhausted (English),worn out,informal,Urban Karnataka
energetic,energetic (English),lively,informal,Urban Karnataka
lively,lively (English),active,informal,Urban Karnataka
lazy,lazy (English),idle,informal,Urban Karnataka
active,active (English),busy,informal,Urban Karnataka
busy,busy (English),occupied,informal,Urban Karnataka
free,free (English),available,informal,Urban Karnataka
hopeful,hopeful (English),optimistic,informal,Urban Karnataka
hopeless,hopeless (English),pessimistic,informal,Urban Karnataka
patient,patient (English),tolerant,informal,Urban Karnataka
impatient,impatient (English),restless,informal,Urban Karnataka
kind,kind (English),nice,informal,Urban Karnataka
mean,mean (English),unkind,informal,Urban Karnataka
generous,generous (English),giving,informal,Urban Karnataka
selfish,selfish (English),self-centered,informal,Urban Karnataka
honest,honest (English),truthful,informal,Urban Karnataka
dishonest,dishonest (English),untruthful,informal,Urban Karnataka
loyal,loyal (English),faithful,informal,Urban Karnataka
faithful,faithful (English),devoted,informal,Urban Karnataka
reliable,reliable (English),dependable,informal,Urban Karnataka
unreliable,unreliable (English),undependable,informal,Urban Karnataka
responsible,responsible (English),accountable,informal,Urban Karnataka
irresponsible,irresponsible (English),careless,informal,Urban Karnataka
careful,careful (English),cautious,informal,Urban Karnataka
careless,careless (English),negligent,informal,Urban Karnataka
smart,smart (English),clever,informal,Urban Karnataka
clever,clever (English),intelligent,informal,Urban Karnataka
intelligent,intelligent (English),bright,informal,Urban Karnataka
stupid,stupid (English),foolish,informal,Urban Karnataka
foolish,foolish (English),silly,informal,Urban Karnataka
silly,silly (English),absurd,informal,Urban Karnataka
serious,serious (English),earnest,informal,Urban Karnataka
funny,funny (English),amusing,informal,Urban Karnataka
hilarious,hilarious (English),very funny,informal,Urban Karnataka
boring,boring (English),dull,informal,Urban Karnataka
interesting,interesting (English),engaging,informal,Urban Karnataka
engaging,engaging (English),captivating,informal,Urban Karnataka
captivating,captivating (English),fascinating,informal,Urban Karnataka
fascinating,fascinating (English),intriguing,informal,Urban Karnataka
strange,strange (English),weird,informal,Urban Karnataka
weird,weird (English),odd,informal,Urban Karnataka
odd,odd (English),unusual,informal,Urban Karnataka
unusual,unusual (English),uncommon,informal,Urban Karnataka
normal,normal (English),regular,informal,Urban Karnataka
typical,typical (English),standard,informal,Urban Karnataka
standard,standard (English),normal,informal,Urban Karnataka
common,common (English),ordinary,informal,Urban Karnataka
ordinary,ordinary (English),plain,informal,Urban Karnataka
plain,plain (English),simple,informal,Urban Karnataka
